Comment,Author,Likes
"Don&#39;t worry, I didn&#39;t travel to New Jersey just for this; I was in the area and it seemed like an apt location. I did try to remove the truck-reversing sound near the end, but it just sounded worse: and given what I was talking about at the time, that also felt apt!",Tom Scott,22337
"Telling the audience that you&#39;re doing a thing to subtly manipulate them, and how and why it works, with no intent to stop because it DOES work, thus establishing trust by being forthright about a lie to establish trust is probably about the most Tom Scott thing ever.",Anthony Harris,37983
It&#39;s amazing how Tom manages to look like he&#39;s both in his 20&#39;s and in his 60&#39;s at the same time,T2and3,8023
"What I love is that he not only answers the question, but he does it in such a way I don&#39;t want to skip to the end.",Mara Jade,3941
"I have an auditory processing disorder. I noticed the lack of sync immediately, because of being so used to reading lips and searching for visual cues. Also, knowing Tom Scott, I was kinda expecting it to be unsynchronized on purpose. Very cool video.",Dorian,3293
"I love how the most replayed part is Tom talking about the 3 frames late, meaning most people decided to go back a few seconds to see if they can catch the 3-frame lag",4048 Antonio,440
Tom always impresses me with those incredibly long shots of him talking. I can&#39;t imagine how hard it is to not slip up for that long.,Hunter Morgan,216
"I get a weird uneasiness sometimes with poorly synced audio. I did this time, was actually noticing in real-time, and only realized why after you explaining and changing it back a few seconds later. Certainly confirmed a lot for me and possibly explained why at times I’ll find a video I just find unsettling to watch for unapparent reasons.",J,723
"Honestly Tom you have been a standard of what youtube videos can be and how they should cater to their audience, thank you for all that you do.",alphabet is gay,166
"I must admit after hearing the truck sound and talking about setting the scene, I totally expected you to walk away and reveal it was a green screen afterall.",Jeff Ferguson,471
"In case some people don&#39;t catch the irony of showing the monument in the end of the video, in 1938 Orson Welles did a radio theater adaptation of H.G. Wells&#39; &quot;The War of the Worlds&quot;... except he didn&#39;t tell the audience at the beginning that it was just a theater show, so people across the country started panicking because they thought a real life alien invasion was underway. People at the time got much of their news from radio, and Welles created a show that used theatrical authenticity to exploit the audience&#39;s trust in radio as a news medium, while here, Tom is demonstrating how he uses theatrics to create authentic trust between himself and the viewer.",Jason Osmond,669
The three frame delay is so confusing to me because I felt something was off with the synchronization even before he said it but when actively trying to match the sound to the video I couldn’t see the delay at all.,Niklas Sander,239
